word,type,translation
adoptio,all,adoption
adoptiolapsi,all,adoption
adoptiovanhempi,wiki,adoptive parent
adoptoida,all,to adopt
adoptointi,all,adoption
adpositio,wiki,adposition
adrenaliini,all,adrenaline
adressaatti,wiki,address
adressi,all,petition
adsorboida,all,adsorb
adsorbointi,all,adsorbo
adsorboitua,all,to adsorb
adsorptio,all,adsorption
adventismi,all,Adventism
adventisti,all,Adventist
adventti,all,Advent
adventtiaika,all,advent
adventtikalenteri,all,advent
adventtikirkko,all,advention church
adventtiseurakunta,all,advention
adventtisunnuntai,all,Advent Sunday
adverbi,all,adverb
adverbiaali,all,adverbial
adverbiaalinen,all,adverbial
adverbiaalisesti,all,adverbically
adverbiaalisuus,all,adverbiality
adverbinen,all,adverbic
adverbisesti,all,adverbically
adverbisuus,all,adverbism
adversatiivinen,all,adversative
adversatiivisesti,all,adversative
adversatiivisuus,all,adversibility
advokaatti,wiki,advocate
aerobic,all,aerobics
aerobikata,all,aerobics
aerobikkaaja,all,aerobicist
aerobikkaus,all,aerobicity
aerobikki,all,aerobics
aerobinen,all,aerobic
aerobiologia,all,aerobiology
aerobiologinen,all,aerobiological
aerodynaaminen,all,aerodynamic
aerodynaamisesti,all,aerodynamically
aerodynamiikka,all,aerodynamics
aerologia,wiki,aerology
aerosoli,all,aerosol
aerostaatti,wiki,aerostat
afaatikko,all,aphasic
afaattinen,all,apaphic
afar,wiki,Afar
afasia,all,aphasia
affekti,all,affection
affektihäiriö,all,affection
affektiivinen,all,affectionate
affektiivisesti,all,affectionate
affektiivisuus,all,affection
affektinen,all,Affective
affektisesti,all,Affective
affektisuus,all,affectivity
affiksi,wiki,affix
affiniteetti,wiki,affinity
affisio,all,afflish
affrikaatio,wiki,affection
affrikaatta,wiki,affrich
afgaani,all,Afghan
afgaaninvinttikoira,all,Afghan
afganistanilainen,wiki,Afghan
afonia,wiki,afon
aforismi,all,aphorism
aforismikokoelma,all,aphorism collection
aforistinen,all,aphoristic
afrihili,wiki,Africa
afrikaaneri,wiki,African
afrikaans,all,Afrikaans
afrikandi,all,Afrikaner
afrikanpingviini,wiki,African Pingine
afrikkalainen,all,African
afrikkalaisuus,all,Africanism
afro,all,afro
afroamerikkalainen,all,Afro-American
afrodisia,wiki,afrodic
afrokampaus,all,afro
afääri,all,affair
agaatti,all,agate
agaave,all,agave
agar-agar,all,agar
agenda,all,esityslista
agentti,all,agent
agenttifilmi,all,agent
agenttiromaani,all,agent
agentuuri,all,agency
agentuuriliike,all,agency
agglutinaatio,wiki,agglutination
aggregaatti,all,aggregate
aggregoida,wiki,aggregate
aggregointi,wiki,aggregation
aggressiivinen,all,aggressive
aggressiivisesti,all,aggressively
aggressiivisuus,all,aggressiveness
aggressio,all,aggression
agitaatio,all,agitation
agitaattori,all,agitator
agitatorinen,all,agitatorial
agitoida,all,to agitate
agitointi,all,agitation
agnosia,wiki,agronos
agnostikko,all,agnostic
agnostinen,all,agnostic
agnostisesti,all,agnostically
agnostisismi,all,agnosticism
agnostisuus,all,agnosticity
agonisti,wiki,agonist
agonistinen,wiki,agonistic
agraarinen,all,agrarian
agraaripolitiikka,all,agrarian policy
agraaripuolue,all,agrarian
agraarisuus,all,agarity
agraarivaltio,all,agrarian state
agrologi,all,agrologist
agronomi,all,agronomist
agronomia,all,agronomy
ah,all,aaah
ahaa,all,Aha
ahaa-elämys,all,eureka moment
ahas,wiki,ahaa
ahava,all,march wind
ahavoittaa,all,to make weather-beaten
ahavoitua,all,to become weather-beaten
ahavoitunut,wiki,weather-beaten
ahdas,all,cramped
ahdashenkinen,all,narrow-minded
ahdashenkisesti,all,narrowly
ahdashenkisyys,all,crammerism
ahdaskatseinen,all,cramped
ahdasmielinen,all,narrow
ahdasmielisesti,all,narrowly
ahdasmielisyys,all,narrow-mindedness
ahdasnäköinen,all,narrow-looking
ahdasnäköisesti,all,narrowly
ahdasnäköisyys,all,narrow vision
ahdasrajainen,all,narrow
ahdasrajaisesti,all,overwhelmed
ahdasrajaisuus,all,culmination
ahdata,all,to stow
ahde,all,the hills
ahdekaunokki,all,cowhide
ahdelauha,all,rag
ahdin,all,brace
ahdinko,all,plight
ahdinkotila,all,the plight of space
ahdistaa,all,to harass
ahdistaja,all,assailant
ahdistava,wiki,oppressive
ahdistelija,all,molester
ahdistella,all,to molest
ahdistelu,all,molestation
ahdistua,all,distressed
ahdistuneesti,all,anxiously
ahdistuneisuus,all,anxiety
ahdistuneisuushäiriö,all,distress disorder
ahdistunut,all,anguished
ahdistus,all,constriction
ahdistusneuroosi,all,anxiety
ahdistustila,all,anxiety
aherrus,all,work
ahertaa,all,to work
ahertaja,all,Ahertajat
ahjo,all,forge
ahkera,all,diligent
ahkeraan,all,frequently
ahkeraliisa,all,diligent
ahkerasti,all,diligently
ahkeroida,all,diligent
ahkerointi,all,diligent
ahkeruus,all,application
ahkio,all,Lapp's sledge
ahma,all,Wolverine
ahmaista,all,to gobble
ahmaisu,all,ghost
ahmatti,all,glutton
ahmattimainen,wiki,gluttonous
ahmia,all,to put away
ahmimishäiriö,all,dysfunction
ahminta,all,gluttony
ahnaasti,all,greedily
ahnas,all,voracious
ahnaus,all,voracity
ahne,all,greedy
ahneesti,all,greedily
ahnehdinta,all,greenery
ahnehtia,all,greed
ahnehtija,all,greedy
ahneus,all,greed
aho,all,meadow
ahokissankäpälä,wiki,ahok
ahomansikka,all,wild strawberry
ahomatara,wiki,ahon
ahoniitty,all,ahole
ahonoidanlukko,wiki,Ahonoido lock
ahosuolaheinä,wiki,ahous
ahrain,all,fish spear
ahtaa,all,cram
ahtaaja,all,stevedore
ahtaalla,all,at bay
ahtaalle,all,squeezed
ahtaasti,all,narrowly
ahtauma,all,stenosis
ahtaus,all,stevedoring
ahtausliike,all,stevedoring movement
ahtaustyö,all,stevedoring
ahtauttaa,all,to congest
ahtautua,all,to squeeze
ahtautuma,all,narrowing
ahteri,all,stern
ahti,all,water god
ahtisaarna,all,Ahtisaarna
ahtoilma,all,flammable air
ahtojää,all,pack ice
ahtopaine,all,fabric
ahven,all,perch
ahvenheinä,all,perch
ahvenkala,wiki,perch fish
ahvenruoho,all,Åland
ahvenvita,all,Åland
ai,all,ouch
aidanrako,all,fence
aidanseiväs,all,fence
aidanvieri,all,fence
aidas,all,split
aidaskääpä,all,fence
aidata,all,to fence
aidattu,wiki,fenced
aidosti,all,truly
aids,wiki,AIDS
aie,all,intention
aiemmin,all,previously
aiempi,all,prior
aiennus,all,guess
aientaa,all,bring forward
aiepöytäkirja,all,sophistication
aiesopimus,all,letter of intent
aigeialainen,wiki,aigeian
aihe,all,subject
aiheellinen,all,justified
aiheellisesti,all,justly
aiheellistaa,all,justify an
aiheellistua,all,be relevant
aiheellisuus,all,propriety
aiheenmukainen,all,subject
aiheenvalinta,all,selection
aiheeton,all,unfounded
aiheettomasti,all,undue
aiheettomuus,all,unjustified
aihelma,all,destruction
aihepiiri,all,theme
aihetodiste,all,circumstantial evidence
aiheuttaa,all,to cause
aiheuttaja,all,cause
aiheutua,all,to ensue
aiheutus,all,causation
aihio,all,preform
aika,all,time
aika-ajo,all,time trial
aika-arvo,all,time value
aikaansaada,all,create
aikaansaamaton,all,shiftless
aikaansaamattomuus,all,unable
aikaansaannos,all,work
aikaansaanti,all,accomplishment
aikaansaapa,all,efficient
aikaansaava,all,efficient
aikaero,all,lag
aikaerorasitus,all,jet lag
aikaihminen,all,adult
aikailematon,wiki,dilly-dally
aikailla,all,shillyshally
aikailu,all,pursuit
aikainen,all,early
aikaisemmin,all,earlier
aikaisempi,wiki,earlier
aikaisin,all,early
aikaisintaan,all,at the earliest
aikaistaa,all,to advance
aikaistua,all,time to sit
aikaistus,all,bridge
aikaisuus,all,earliness
aikajakso,all,time period
aikajana,wiki,timeline
aikajärjestys,all,chronology
aikakauppa,all,timetable
aikakausi,all,era
aikakausjulkaisu,all,periodicals publication
aikakauskirja,all,magazine
aikakauslehdistö,all,magazine
aikakauslehti,all,magazine
aikakirja,all,chronicle
aikakone,all,time machine
aikakysymys,all,time question
aikakytkin,all,time switch
aikalainen,all,contemporary
aikalaukaisin,all,timing
aikaleima,wiki,timestamp
aikalisä,all,time-out
aikalukko,all,timer
aikaluokka,all,intention
aikamatka,all,plan
aikamatkailu,all,timing
aikamatkustus,all,timing
aikamerkki,all,time signal
aikamies,all,grown man
aikamiespoika,all,chick
aikamiina,all,time
aikamitta,all,measure of time
aikamoinen,all,quite a
aikamuoto,all,tense
aikamäärä,all,deadline
aikanaan,all,in due course
aikansa,all,time
aikapalkka,all,time rate
aikapalkkainen,all,upscale
aikapalkkaus,all,timely
aikapeli,all,time game
aikapommi,all,time bomb
aikapula,all,time slot
aikarahtaus,all,aptitude
aikaraja,wiki,time limit
aikarajoitus,all,time limit
aikasarja,wiki,time series
aikasytytin,all,timely
aikasytytteinen,all,timely
aikasytytyksinen,all,timely
aikasytytys,all,timing
aikataulu,all,schedule
aikatauluttaa,all,to schedule
aikatiedotus,all,speaking clock
aikaurakka,all,time
aikautus,all,time
aikavalotus,all,time exposure
aikavaraus,all,trial
aikaveloitus,all,timing
aikavyöhyke,all,time zone
aikaväli,all,interval
aikayksikkö,all,unit of time
aikido,all,aikido
aikoa,all,to purpose
aikoinaan,all,once
aikojaan,all,their time
aikomus,all,intention
aikuinen,all,adult
aikuisikä,all,adult
aikuiskaste,all,adult
aikuiskasvatus,all,adult education
aikuiskoulutus,all,further education
aikuisopetus,all,adult education
aikuisopiskelija,all,adult student
aikuistua,all,grow up
aikuisuus,all,adulthood
ailahdella,all,to vary
ailahdus,all,flap
ailahteleva,wiki,volatile
ailahtelevainen,wiki,volatile
ailahtelu,all,luster
ailakki,all,campion
ailurofobia,wiki,ailurophobia
aimara,wiki,Aymara
aimo,all,good
aina,all,always
ainainen,all,everlasting
ainaiseksi,all,for ever
ainaisjäsen,all,independent member
ainaisvakuutus,all,autumn
ainakaan,all,at least not
ainakin,all,at least
ainavihanta,all,earthen
aine,all,substance
aineellinen,all,material
aineellistaa,all,to materialize
aineellistua,all,to materialize
aineellistuma,all,materializations
aineellisuus,all,materiality
aineenkirjoittaja,all,scorner
aineenkoetus,all,substance
aineenopettaja,all,subject teacher
aineenvaihdunta,all,metabolism
aineenvaihduntahäiriö,all,metabolism
aineeton,all,immaterial
aineettomuus,all,intangible
ainehiukkanen,all,lifetime
aineistaa,all,accloy
aineisto,all,material
aineistua,all,material
aineistuma,all,material
ainejakoinen,all,substance
ainejärjestö,all,student association
ainekirjoitus,all,composition
ainekoostumus,all,material composition
aineksenkeruu,all,ingredient
aineluokka,all,category
aineluokkajärjestelmä,all,classification system
ainemäärä,all,mass
aineosa,all,component
aines,all,material
ainesana,all,mass noun
aineseos,all,constituent
aineskokoelma,all,composite collection
ainesosa,all,ingredient
ainespuu,all,ingredient
aineyhdistelmä,all,combination of substances
ainiaaksi,all,forever
ainiaan,all,A personia
ainiaksi,all,at all
ainian,all,ininian
aino,all,the only
ainoa,all,only
ainoalaatuinen,all,unique
ainoalaatuisuus,all,only
ainoastaan,all,only
ainoiskappale,all,butt
ainokainen,all,one and only
ainut,all,only
ainutkertainen,all,one-off
ainutkertaisuus,all,uniqueness
ainutlaatuinen,all,unique
ainutlaatuisuus,all,uniqueness
aioli,all,aioli
aioni,wiki,aeon
airedalenterrieri,all,Airenalenterrier
airo,all,oar
aironlapa,all,blade of an oar
aironveto,all,aeron
airopari,all,Airopari
airut,all,messenger
airutkuvio,wiki,airwear
ais,wiki,A-sharp major
aisa,all,shaft
aisakello,all,aisake
aisankannattaja,all,cuckold
aisapari,all,bedfellow
aisata,all,bark
aisti,all,sense
aistia,all,to sense
aistienvarainen,all,sensuous
aistiharha,all,hallucination
aistihavainto,all,sensation
aistikas,all,tasteful
aistikkaasti,all,sensitively
aistikkuus,all,sensuality
aistillinen,all,sensual
aistillisesti,all,sensually
aistillisuus,all,sensuality
aistimaailma,all,aist
aistimaton,wiki,sense
aistimus,all,sensation
aistin,all,sense organ
aistinelin,all,senses
aistinsolu,all,sensory cell
aistivaikutelma,all,sensation
aistivammainen,all,sensible
aita,all,fence
aitajuoksija,all,fence
aitajuoksu,all,hurdles
aitalikusteri,wiki,fence
aitapensas,all,fence
aitaus,all,pen
aitio,all,box
aitiopaikka,all,box seat
aito,all,genuine
aitoa,all,to hurdle
aitoamaryllis,all,authentic
aitokana,wiki,genuinely
aitokissanminttu,wiki,authentic
aitokoi,wiki,authentic
aitoperäinen,all,autorating
aitosuomalainen,all,true Finn
aitosuomalaisuus,all,geniality
aitosyöpä,all,genus
aitotumainen,wiki,eukaryote
aitotumallinen,all,authentic
aitous,all,authenticity
aitovieri,all,authentic
aitoviikuna,wiki,as a genuine
aitoviiniköynnös,wiki,vine
aitta,all,storehouse
aivan,all,right
aivastaa,all,to sneeze
aivastella,all,sneeze
aivastus,all,sneeze
aivastuttaa,all,to sneeze
aivina,all,lawn
aivipisto,all,hole
aivo,all,cerebral
aivoaine,all,brain matter
aivofilmi,all,brain
aivohalvaus,all,apoplexy
aivohermo,all,cerebral nerve
aivoinvalidi,all,cerebral invalid
aivoitus,all,brainstorming
aivojenpesu,all,brainwash
aivokalvo,all,meninges
aivokalvontulehdus,all,meningitis
aivokammio,all,brain chamber
aivokapasiteetti,all,brainpower
aivokasvain,all,brain tumor
aivokirurgi,all,brain surgeon
aivokoppa,wiki,brain in the cranial
aivokuolema,all,brain death
aivokuollut,all,brain dead
aivokuori,all,cortex
aivokurkiainen,all,the corpus callosum
aivokuume,all,encephalitis
aivokuva,all,brain
aivokuvaus,all,brainishness
aivokäyrä,all,brain wave
aivoleikkaus,all,brain surgery
aivolisäke,all,pituitary
aivomato,wiki,brainstorm
aivopaine,all,brain pressure
aivopestä,all,to brainwash
aivopesu,all,brainwashing
aivopuolisko,all,hemisphere
aivopähkinä,wiki,cerebral
aivopöhö,wiki,brain
aivoriihi,all,brainstorming
aivorunko,all,brain strip
aivosairaus,all,brain disease
aivosilta,wiki,brain bridge
aivosolu,all,brain cell
aivosto,all,The brain
aivosyntyinen,all,obscene
aivosähkökäyrä,all,electroencephalogram
aivot,all,brain
aivotoiminta,all,brain function
aivoton,wiki,brainless
aivotrusti,all,cerebral
aivotulehdus,all,cerebral agent
aivoturso,wiki,cerebrolery
aivotyö,all,cerebration
aivotärähdys,all,concussion
aivovamma,all,brain injury
aivovammainen,all,brainish
aivovaurio,all,brain damage
aivovauriolapsi,all,bracelet
aivoverenkierto,all,cerebral circulation
aivoverenvuoto,all,cerebral hemorrhage
aivoveritulppa,all,brain bath
aivovienti,all,brain drain
aivovoimistelu,all,mental gymnastics
aivovuoto,all,brain drain
aivoödeema,wiki,brainstorm
ajaa,all,to drive
ajaantua,all,be pushed
ajaja,all,driver
ajallaan,all,in due time
ajallinen,all,temporal
ajallisesti,all,in time
ajallisuus,all,timber
ajamaton,wiki,unshaved
ajan mittaan,all,in the long run
ajanhaaskaus,all,waste of time
ajanhukka,all,waste of time
ajanjako,all,time
ajanjakso,all,period
ajankohta,all,timing
ajankohtainen,all,timely
ajankohtaisohjelma,all,mag
ajankohtaistaa,all,to update
ajankohtaistua,all,up-to-date
ajankohtaisuus,all,topical
ajankulu,all,period
ajankuluke,all,pastime
ajankuva,all,period piece
ajankuvaus,all,period piece
ajanlasku,all,calendar
ajanmittaus,all,time measurement
ajanmukainen,all,hip
ajanmukaisesti,all,up-to-date
ajanmukaistaa,all,to update
ajanmukaistua,all,up-to-date
ajanmukaisuus,all,modernity
ajanmääritys,all,upgrades
ajannäyttäjä,wiki,timepiece
ajannäyttäjähibiskus,wiki,time -bang
ajanottaja,all,timekeeper
ajanotto,all,timekeeping
ajanpuute,all,lack of time
ajansäästö,all,saving in time
ajantasainen,all,up to date
ajantasaistaa,all,to update
ajantasaistus,all,up-to-date
ajantasaisuus,all,up-to-date
ajantasajärjestelmä,all,up-to-date system
ajantasakäsittely,all,real time processing
ajantilaus,all,order
ajantuhlaus,all,time
ajanvaraus,all,appointment
ajanviete,all,entertainment
ajanvieteautomaatti,all,entertainment
ajanvietekirja,all,entertainment
ajanvietelehti,all,entertainment
ajanvieteohjelma,all,entertainment program
ajanvietepeli,all,entertainment game
ajanvietteellinen,all,entertaining
ajanvietto,all,hangout
ajassa,all,time
ajassaan,all,own time
ajasta,wiki,time
ajastaa,all,to preset
ajastaika,all,time time
ajastin,all,time
ajastus,all,timing
ajatella,all,think
ajatelma,all,adage
ajatollah,all,ayatollah
ajaton,all,timeless
ajattaa,all,shave
ajattelematon,all,unthinking
ajattelemattomasti,all,harum-scarum
ajattelemattomuus,all,innings
ajatteleminen,wiki,thinking
ajattelevaisuus,wiki,thoughtfulness
ajattelija,all,thinker
ajattelu,all,thinking
ajattelukyky,all,thoughtfulness
ajattelukykyinen,all,thoughtful
ajattelutapa,all,thinking
ajattelutyö,all,thinking
ajattomasti,all,timely
ajattomuus,all,timely
ajatuksekas,all,thoughtful
ajatuksellinen,all,conceptual
ajatuksellisesti,all,thoughtfully
ajatuksenjuoksu,all,reasoning
ajatuksenkulku,all,idea
ajatuksenriento,all,thought
ajatuksensiirto,all,telepathy
ajatuksenvapaus,all,freedom of thought
ajatukseton,all,lacking ideas
ajatuksettomasti,all,thoughtlessly
ajatuksettomuus,all,ity
ajatus,all,thought
ajatusharha,all,thoughtful
ajatushautomo,wiki,think tank
ajatuskatko,all,the time of thought
ajatusketju,all,thought chain
ajatuskoe,all,thought test
ajatuskupla,all,concept
ajatusmaailma,all,thought
ajatusrakennelma,all,construct
ajatussisällys,all,thoughtful
ajatussisältö,all,content
ajatussuunta,all,school of thought
ajatustapa,all,scheme of things
ajatustenlukija,all,mind reader
ajatustenluku,all,ideas
ajatustensiirto,all,conversion
ajatustenvaihto,all,interchange
ajatustoiminta,all,thought
ajatustyö,all,thinking
ajatusviiva,all,dash
ajatusvirhe,all,thought error
ajatusvoimistelu,all,thoughtful
ajatusyhteys,all,thoughtful
ajautua,all,to drift
ajelehtia,all,to drift
ajella,all,to drive
ajelu,all,run
ajeluttaa,all,to drive
ajettavuus,all,driveability
ajettua,all,driven
ajettuma,all,swell
ajetuksissa,all,in driving
ajo,all,driving
ajoaika,all,driving time
ajoankkuri,all,drogue
ajoharjoittelu,all,driving training
ajoharjoittelurata,all,driving trainer
ajoissa,all,in time
ajoittaa,all,to schedule
ajoittain,all,at times
ajoittainen,all,intermittent
ajoittaisuus,all,schedule
ajoittua,all,timed
ajoitus,all,timing
ajojahti,all,witch hunt
ajojää,all,drift ice
ajokaista,all,lane
ajokas,all,carriage horse
ajokeli,all,driving conditions
ajokelpoinen,all,permitted
ajokielto,all,driving ban
ajokilometri,all,mileage
ajokoe,all,driving test
ajokoira,all,hound
ajokoirametsästys,all,hobbies
ajokortti,all,driving license
ajokunto,all,driving condition
ajokuntoinen,all,roadworthy
ajolinja,all,line
ajolähtö,all,drive output
ajomatka,all,ride
ajomestari,all,driver
ajometsästys,all,chase hunting
ajomies,all,beater
ajomiina,all,driving
